화면명,Figma 링크,Prototype 링크,개발 완료,관련 API,관련 시나리오,관련 요구사항,관련 테스트,구분,단계,담당자,도메인,비고,상태,우선순위,입력 데이터,출력 데이터,화면 ID,화면 설명
먹고가기 / 포장 선택,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-2,,No,없음. 선택값은 API-005 주문 생성 요청의 orderType으로 전달,식당 키오스크 주문 흐름,,TC-001,키오스크,FWD,"유진, 민준",식당,SCR-001에 병합. ID·Notion URL 참조용 유지. Figma 프레임은 SCR-001로 통합 예정.,병합됨,상,없음,orderType(EAT_IN 또는 TAKE_OUT),SCR-002,【병합됨】2026-07-06 회의 결정으로 SCR-001「홈 (매장·포장)」에 통합. 별도 화면 없음.
타임아웃 안내 / 자동 초기화,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-11,,No,없음(프론트 상태 처리),일정시간 미입력 시 자동 초기화,FWD-SYS-001,TC-007,오류예외,FWD,,식당,API 없이 프론트 상태로 처리 가능,기획중,중,"남은 시간, 현재 주문 상태","주문 계속하기, 처음으로 이동",SCR-013,일정 시간 입력이 없을 때 주문 초기화 전 안내 카운트다운을 보여주는 화면
관리자 메뉴 관리,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-14,,No,"API-010, API-011, API-009","관리자의 신규 메뉴 등록, 판매 항목 품절 처리","LMIS-MENU-001, LMIS-MENU-004",TC-010,관리자,LMIS,,식당,관리자 기능 5~6주차 확장,기획중,중,"메뉴 목록, 카테고리, 태그, 품절 상태","메뉴 등록/수정 화면 이동, 품절 변경",SCR-016,"관리자가 메뉴 목록, 가격, 태그, 품절 상태를 확인하는 화면"
접근성 설정,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-12,,No,API-017 접근성 설정 조회,접근성 옵션으로 저시력 고객 주문,FWD-UI-001,TC-008,공통,FWD,,식당,9주 후반(Week 7~8) 고도화 항목,기획중,하,선택 가능한 접근성 옵션,적용된 UI 설정,SCR-014,"글자 크기, 고대비 등 키오스크 접근성 옵션을 선택하는 화면"
관리자 매출 요약,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-23,,No,API-015,관리자의 일별 매출 조회,LMIS-ORDER-005,TC-013,관리자,LMIS,,식당,"Week 5 MVP 제외, Week 7~8 확장",기획중,하,"조회 기간, 일별 매출 데이터",매출 요약 표시,SCR-019,관리자가 일별 주문수와 매출 금액을 확인하는 화면
결제 실패 / 재시도 (팝업·토스트),https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-10,,No,API-006 POST /api/payments,결제 실패 흐름,"FWD-PAY-002, KSD-PAY-001",TC-004,오류예외,FWD,,식당,2026-07-06: 별도 전체 화면보다 팝업·토스트 오버레이 우선. SCR-007 결제 중 표시.,기획중,상,"paymentId/orderId, errorCode, message","재결제 요청, 장바구니·주문확인(SCR-005) 복귀",SCR-012,가상 결제 실패 또는 금액 불일치 시 팝업·토스트로 실패 사유를 안내하고 재결제하거나 장바구니로 돌아간다.
관리자 로그인,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-13,,No,관리자 로그인 API(후반 확장),관리자 접근 흐름,LMIS-AUTH-001,TC-009,관리자,LMIS,,식당,"Week 6(SCR-009~011)에서는 인증 생략 가능, Week 7~8 확장 시 적용",기획중,하,"아이디, 비밀번호",관리자 세션/토큰,SCR-015,관리자가 주문/메뉴 관리 화면에 접근하기 전 로그인하는 화면
관리자 결제수단 설정,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-16,,No,"API-013, API-014",결제 성공 흐름(수단 노출 포함),LMIS-PAY-001,TC-012,관리자,LMIS,,식당,결제수단은 확장 가능 값이라 common_code/payment_method_config 기준,기획중,중,"결제수단 목록, 활성 여부, 정렬 순서",결제수단 설정 변경 요청,SCR-018,관리자가 카드/간편결제 등 결제수단 노출 여부와 순서를 설정하는 화면
관리자 메뉴 등록/수정,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-15,,No,API-012,관리자의 신규 메뉴 등록,"LMIS-MENU-004, FWD-MENU-013, FWD-MENU-014, FWD-MENU-015",TC-011,관리자,LMIS,,식당,추천 드레싱은 menu_option 기준으로 저장,기획중,중,"메뉴명, 가격, 이미지, 재료, 옵션그룹, 추천 옵션, 태그",메뉴 저장 요청,SCR-017,"관리자가 메뉴 기본정보, 기본 재료, 추천 드레싱, 옵션그룹, 태그를 등록/수정하는 화면"
영수증 출력 여부 선택,,,No,API-019 POST /api/orders/{orderId}/receipt-print,SC-015,RTOS-DEVICE-001,TC-015,키오스크,장치,,식당,"Week 5 MVP 제외, Week 7~8 장치 확장. SCR-008 주문 완료 화면에서 분기 또는 오버레이.",기획중,하,"orderId, orderNo, paymentStatus, totalPrice","영수증 출력 선택(예/아니오), 출력 결과 또는 화면 주문번호 표시",SCR-020,"결제 완료 직후 고객이 영수증 출력 여부를 선택하는 화면. 출력 선택 시 모의 프린터 요청, 미선택 시 화면 주문번호로 대체."
포인트·쿠폰 적립,,,No,"API-018 POST /api/membership/stamps, POST /api/device/scan","SC-006, SC-016","LMIS-MEMBER-001, KSD-MEMBER-001, RTOS-DEVICE-002",TC-016,키오스크,KSD,,식당,"Week 5 MVP 제외, 9주 후반 멤버십/쿠폰 확장. 결제 전 적립 확인 1회만 노출, 결제 전후 중복 확인 금지.",기획중,하,"memberId, orderId, scanValue(쿠폰/멤버십 QR), 결제 금액","적립 확인 결과, 스탬프 적립 여부, 쿠폰 할인 금액, 최종 결제 금액",SCR-021,"결제 단계에서 멤버십 스탬프 적립을 1회 확인하고, 모바일 쿠폰/멤버십 QR 스캔 시 할인·적립 정보를 표시하는 화면"
,,,No,,,,,공통,,,,,,,,,,
